Abonnements avec GSM,GSM -abonnementen
Autre ,Andere
Quel est votre type de carte ? *,Welk type tariefplan? *
Abonnement ,Abonnement 
Carte prépayée ,Herlaadkaart
N° de client actuel *,Huidige klantnummer *
N° de carte SIM actuel *,Huidige simkaartnummer *
La facture est-elle à votre nom ? *,Staat de factuur op jouw naam? *
Oui ,Ja
Non,Neen
Nom du titulaire *,Naam van de titularis *
Prénom du titulaire *,Voornaam van de titularis *
Informations ,Gegevens
Voulez-vous ajouter cet ou ces abonnement(s) à votre facture ? *,Wil je dit of deze abonnement(en) toevoegen aan je factuur? *
"Si vous êtes déjà abonné chez Orange, vous bénéficiez d'une réduction de 5 €/mois.
Avez-vous un abonnement mobile d'au moins 10 €/mois ? *","Indien je al een Orange-abonnement hebt, geniet je van een korting van 5 €/maand. Heb je een gsm-abonnement van minstens 10 €/maand? *"
Données personnelles ,Persoonlijke gegevens
Indépendant ou société ,Zelfstandige of bedrijf
Profil *,Profiel *
Entreprise,Bedrijf
Indépendant ,Zelfstandige
Profession libérale avec numéro de TVA ,Vrij beroep met btw-nummer
Profession libérale sans numéro de TVA ,Vrij beroep zonder btw-nummer
Statut juridique *,Juridisch statuut *
SA,nv
SPRL,bvba
ASBL,vzw
SCRL,cvba
SNC,vof
SCRI,cvoha
SCS,gcv
SCA,cva
GIE,esv
GEIE,eesv
SE,se
Société Agricole ,LandbouwVennootschap
AISBL,ivzw
FP,priv st
FUP,son
Nom de la société *,Naam van de onderneming *
N° de TVA *,Btw-nummer *
Mr,Mr.
Mme,Mevr.
Mail *,E-mailadres
N° de contact *,Contactnummer *
Date de naissance *,Geboortedatum *
Jour ,Dag
Mois ,Maand
Année,Jaar
Nationalité  *,Nationaliteit *
Belge,Belg
Autre,Andere
N° de carte d'identité *,Identiteitskaartnummer *
Êtes-vous enregistré en Belgique ? *,Ben je in België geregistreerd? *
Non ,Neen
N° de titre de séjour *,Nummer verblijfskaart *
N° de passeport *,Paspoortnummer *
Adresse de facturation ,Factuuradres
Adresse de livraison ,Leveringsadres
Utiliser la même adresse que l'adresse de facturation ,Gebruik hetzelfde adres als het factuuradres
Utiliser une autre adresse pour la livraison ,Gebruik een ander adres voor de levering
A l'attention de ,Ter attentie van
"Code postal, ville *","Postcode, stad *"
Boîte ,Bus
Pays : Belgique ,Land: België
Utiliser un point de collecte bpost ,Gebruik een bpost-afhaalpunt
Choisir un point de collecte,Kies een afhaalpunt
Vous avez choisi : ,Je koos voor:
[Collect point selected],[Collect point selected]
Modifier le point de collecte,Afhaalpunt wijzigen
Nom du client *,Naam klant *
Prochaines étapes ,Volgende stappen
 Abonnement : Vous recevrez un mail de confirmation vous expliquant les étapes d'activation de votre nouvel abonnement. ,Abonnement: je ontvangt een bevestigingsmail die je uitlegt hoe je je nieuwe abonnement kan activeren.
" Abonnement avec smartphone : Une fois votre carte SIM activée (les étapes d'activation seront expliquées dans votre mail de confirmation), vous recevrez votre smartphone dans les 2 jours ouvrables. "," Abonnement met smartphone: eens je simkaart actief is (de activering wordt uitgelegd in je bevestigingsmail), ontvang je je smartphone binnen 2 werkdagen."
 Carte prépayée : Vous recevrez votre carte dans les 2 jours ouvrables ainsi que les étapes à suivre pour conserver votre numéro. ," Herlaadkaart: je ontvangt je kaart binnen 2 werkdagen, met de stappen die je moet volgen om je nummer te behouden."
 Internet Everywhere : Vous recevrez votre carte SIM dans les 2 jours ouvrables., Internet Everywhere: je ontvangt je simkaart binnen 2 werkdagen.
 Internet Everywhere + appareil : Vous recevrez votre carte SIM ainsi que votre appareil dans les 2 jours ouvrables.,Internet Everywhere + toestel: je ontvangt je simkaart samen met je toestel binnen 2 werkdagen.
" Si vous avez commandé votre GSM ou tablette avant 19h, vous serez livré le lendemain. "," Als je je gsm of tablet besteld hebt vóór 19u, ontvang je hem de volgende dag."
"Si vous avez commandé votre accessoire avant 19h, vous serez livré le lendemain. ","Als je je accessoire besteld hebt vóór 19u, ontvang je hem de volgende dag."
Offres et conditions ,Aanbod en voorwaarden
Recevoir les offres intéressantes et les dernières nouvelles d'Orange,Interessante aanbiedingen en het laatste Orange-nieuws ontvangen
Accepter les conditions générales de ventes d'Orange *,De algemene verkoopsvoorwaarden van Orange aanvaarden *
Continuer,Verder gaan
Total ,Totaal
À payer mensuellement ,Maandelijks te betalen
À payer maintenant ,Nu te betalen
À payer sur votre prochaine facture ,Te betalen op je volgende factuur
Livraison ,Levering
Code promo,Promocode
Valider ,Valideren
Paiement ,Betaling
Méthode de paiement pour votre abonnement *,Betaalmethode voor je abonnement *
Virement ,Overschrijving
Domiciliation ,Domiciliëring
N° de compte *,Rekeningnummer *
Méthode de paiement pour votre commande *,Betaalmethode voor je bestelling *
Banque en ligne ,Online banking
Carte de crédit ,Kredietkaart
Votre panier,Jouw winkelmandje
Commander ,Bestellen
Vous trouverez votre numéro de client sur l'une de vos factures.,Je vindt je klantnummer op één van je facturen.
Vous pouvez choisir de rassembler vos abonnements sur une même facture déjà existante. Les communications entre ces numéros seront gratuites grâce à Orange Circle.,Je kan ervoor kiezen om je abonnementen op dezelfde bestaande factuur te verzamelen. Sms'en en bellen naar deze nummers is gratis dankzij Orange Circle.
Ce numéro peut être utilisé pour vous tenir informé ou pour toute question au sujet de votre commande. Il ne sera pas utilisé à d'autres fins et ne sera pas conservé.,Dit nummer kan gebruikt worden om je te informeren of voor vragen in verband met je bestelling. Het wordt niet gebruikt voor andere doeleinden en wordt nergens bewaard.
"Vous devez être majeur pour passer votre commande. 
Par ailleurs, en raison de la nouvelle législation belge sur l'enregistrement des cartes SIM, les données concernant votre date de naissance sont obligatoires. ","Je dient meerderjarig te zijn om te bestellen. Bovendien is het verplicht om je geboortedatum in te voeren, ten gevolge van de nieuwe Belgische wetgeving omtrent het registreren van simkaarten."
Votre nationalité est demandée afin de définir le type de document d'identité à indiquer ci-dessous.,Je nationaliteit wordt gevraagd om het type identiteitsdocument te bepalen.
"Pour éviter toute fraude et pour des raisons administratives, nous avons besoin de votre numéro de carte d’identité. Il nous est impossible de compléter votre dossier sans ces données.",Om fraude te vermijden en om administratieve redenen hebben we je identiteitskaartnummer nodig. Het is onmogelijk om je dossier te vervolledigen zonder deze gegevens.
Veuillez sélectionner votre ville dans la liste proposée. ,Selecteer je gemeente in de voorgestelde lijst.
Veuillez sélectionner votre rue dans la liste proposée. ,Selecteer je straat in de voorgestelde lijst.
Retirez votre paquet vous-même dans un point d'enlèvement bpost (endéans les 15 jours) ou dans un distributeur de paquets bpost (endéans les 5 jours).,Haal je pakket zelf af in een bpost-afhaalpunt (binnen 15 dagen) of in een bpost-pakketautomaat (binnen 5 dagen)
Vous trouverez votre numéro de client Orange sur la première page de votre facture. Ex : 1.9876543.,Je vindt je Orange-klantnummer terug op de eerste pagina van je factuur. Bv: 1.9876543.
FAIBLE À HAUTE,LAAG NAAR HOOG
descendant,Hoog naar laag
Croissant Prix Standalone ,Oplopend Standalone prijs
Croissant Prix de subvention,Oplopend Subsidie ??prijs
Prix ??décroissant Standalone,Descending Standalone prijs
Prix ??décroissant de subvention,Aflopend Subsidie ??prijs
